Time taken: 4.1585 seconds
         15369055 function calls (14734139 primitive calls) in 25.680 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      657    0.035    0.000   41.632    0.063 __init__.py:1(<module>)
       20    0.002    0.000   26.975    1.349 _jit_internal.py:1047(_overload)
        6    0.000    0.000   23.041    3.840 semantic_retriever.py:16(search)
   270/85    0.005    0.000   22.303    0.262 _ops.py:374(fallthrough)
     25/6    0.001    0.000   18.265    3.044 chroma_store.py:65(query)
     13/8    0.000    0.000   16.530    2.066 _ops.py:166(py_functionalize_impl)
   238/60    0.015    0.000   16.530    0.276 _ops.py:317(py_impl)
       46    0.001    0.000   13.729    0.298 library.py:683(wrap)
      6/5    0.000    0.000   11.028    2.206 _ops.py:325(py_autograd_impl)
  5661/76    0.013    0.000    8.303    0.109 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  203/202    0.010    0.000    6.091    0.030 decorators.py:29(wrapper)
      172    0.015    0.000    5.830    0.034 library.py:127(define)
        1    0.000    0.000    5.486    5.486 cond.py:1(<module>)
        1    0.000    0.000    5.484    5.484 associative_scan.py:1(<module>)
        1    0.000    0.000    5.479    5.479 aoti_call_delegate.py:1(<module>)
        6    0.000    0.000    5.212    0.869 functional.py:1(<module>)
  442/202    0.002    0.000    4.432    0.022 _contextlib.py:120(decorate_context)
      201    0.002    0.000    4.430    0.022 embedder.py:37(embed)
      201    0.005    0.000    4.421    0.022 grad_mode.py:293(__exit__)
      201    0.030    0.000    4.396    0.022 model.py:483(encode)
        1    0.000    0.000    3.824    3.824 pipeline.py:63(__init__)
       23    0.001    0.000    3.612    0.157 base.py:1(<module>)
        1    0.000    0.000    3.045    3.045 triton_kernel_wrap.py:1277(__init__)
11354/11131    0.283    0.000    3.024    0.000 {built-in method builtins.__build_class__}
      201    0.007    0.000    2.922    0.015 model.py:496(forward)
23115/603    0.068    0.000    2.908    0.005 module.py:1774(_wrapped_call_impl)
23115/603    0.111    0.000    2.906    0.005 module.py:1782(_call_impl)
      201    0.010    0.000    2.836    0.014 transformer.py:1049(forward)
      201    0.004    0.000    2.817    0.014 generic.py:974(wrapper)
      201    0.006    0.000    2.806    0.014 output_capturing.py:221(wrapper)
      201    0.008    0.000    2.790    0.014 modeling_bert.py:624(forward)
        1    0.000    0.000    2.788    2.788 dependency_versions_check.py:1(<module>)
        3    0.000    0.000    2.750    0.917 quantize.py:1(<module>)
        1    0.000    0.000    2.745    2.745 retrieval.py:1(<module>)
        1    0.000    0.000    2.744    2.744 similarity.py:1(<module>)
        1    0.000    0.000    2.645    2.645 _chunking.py:1(<module>)
        1    0.000    0.000    2.644    2.644 _param_validation.py:1(<module>)
      201    0.014    0.000    2.573    0.013 modeling_bert.py:429(forward)
     1206    0.006    0.000    2.527    0.002 modeling_layers.py:59(__call__)
        4    0.000    0.000    2.518    0.630 generic.py:1(<module>)
     1206    0.011    0.000    2.505    0.002 modeling_bert.py:378(forward)
        2    0.000    0.000    2.470    1.235 _array_api.py:1(<module>)
        1    0.000    0.000    2.398    2.398 auto_docstring.py:1(<module>)
        1    0.000    0.000    2.358    2.358 validation.py:1(<module>)
        1    0.000    0.000    2.046    2.046 fixes.py:1(<module>)
        1    0.000    0.000    2.019    2.019 _fully_shard.py:1(<module>)
        1    0.000    0.000    2.019    2.019 _fsdp_init.py:1(<module>)
        1    0.000    0.000    2.018    2.018 _fsdp_state.py:1(<module>)
        1    0.000    0.000    2.017    2.017 _fsdp_param_group.py:1(<module>)
        1    0.000    0.000    1.996    1.996 _fsdp_collectives.py:1(<module>)
        1    0.000    0.000    1.976    1.976 embedder.py:18(__init__)
       25    0.001    0.000    1.817    0.073 import_utils.py:3013(define_import_structure)
     4395    0.059    0.000    1.816    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    1.761    1.761 embedder.py:25(_try_load_sentence_transformer)
        1    0.001    0.001    1.744    1.744 import_utils.py:1(<module>)
        1    0.003    0.003    1.741    1.741 __init__.py:935(packages_distributions)
   995/25    0.231    0.000    1.732    0.069 import_utils.py:2689(create_import_structure_from_path)
        1    0.000    0.000    1.685    1.685 model.py:148(__init__)
